last eat in detach is 0
i inside is 0
1692318970467 4 is sleeping
1692318970467 3 is eating
1692318970467 0 is eating
1692318970467 1 is thinking
1692318970467 3 is sleeping
1692318970467 0 is sleeping
1692318970467 1 is eating
1692318970467 4 is thinking
1692318970467 4 is eating
1692318970468 1 is sleeping
1692318970468 3 is thinking
1692318970468 0 is thinking
1692318970468 4 is sleeping
1692318970468 0 is eating
1692318970469 1 is thinking
1692318970469 0 is sleeping
1692318970469 1 is eating
1692318970469 4 is thinking
1692318970469 4 is eating
1692318970470 1 is sleeping
1692318970470 0 is thinking
1692318970470 4 is sleeping
1692318970470 0 is eating
1692318970470 1 is thinking
1692318970470 0 is sleeping
1692318970471 1 is eating
1692318970471 4 is thinking
1692318970471 4 is eating
1692318970471 0 is thinking
1692318970471 1 is sleeping
1692318970471 4 is sleeping
1692318970471 0 is eating
1692318970471 1 is thinking
1692318970471 0 is sleeping
1692318970471 1 is eating
1692318970471 4 is thinking
1692318970471 4 is eating
1692318970472 1 is sleeping
1692318970472 0 is thinking
1692318970472 4 is sleeping
1692318970472 0 is eating
1692318970473 1 is thinking
1692318970473 0 is sleeping
1692318970473 1 is eating
1692318970473 4 is thinking
1692318970473 4 is eating
1692318970474 1 is sleeping
